title;pid;url;issn;eissn
A contrario;revue-a-contrario;http://www.cairn.info/revue-a-contrario.htm;1660-7880;1662-8667
Actes de la recherche en sciences sociales;revue-actes-de-la-recherche-en-sciences-sociales;http://www.cairn.info/revue-actes-de-la-recherche-en-sciences-sociales.htm;0335-5322;1955-2564
Actuel Marx;revue-actuel-marx;http://www.cairn.info/revue-actuel-marx.htm;0994-4524;1969-6728
Adolescence;revue-adolescence;http://www.cairn.info/revue-adolescence.htm;0751-7696;1969-6736
Afrique & histoire;revue-afrique-et-histoire;http://www.cairn.info/revue-afrique-et-histoire.htm;1764-1977;1776-2766
Afrique contemporaine;revue-afrique-contemporaine;http://www.cairn.info/revue-afrique-contemporaine.htm;0002-0478;1782-138X
Agora débats/jeunesses;revue-agora-debats-jeunesses;http://www.cairn.info/revue-agora-debats-jeunesses.htm;1268-5666;1968-3758
@GRH;revue-@grh;http://www.cairn.info/revue-@grh.htm;2034-9130;N/A
Analyse Freudienne Presse;revue-analyse-freudienne-presse;http://www.cairn.info/revue-analyse-freudienne-presse.htm;1253-1472;1969-6744
Annales de Bretagne et des pays de l’Ouest;revue-annales-de-bretagne-et-des-pays-de-l-ouest;http://www.cairn.info/revue-annales-de-bretagne-et-des-pays-de-l-ouest.htm;0399-0826;2108-6443
Annales de démographie historique;revue-annales-de-demographie-historique;http://www.cairn.info/revue-annales-de-demographie-historique.htm;0066-2062;1776-2774
Annales de géographie;revue-annales-de-geographie;http://www.cairn.info/revue-annales-de-geographie.htm;0003-4010;1777-5884
Annales. Histoire, Sciences Sociales;revue-annales;http://www.cairn.info/revue-annales.htm;0395-2649;1953-8146
Annales. Histoire, Sciences Sociales (English);revue-annales-english;http://www.cairn.info/revue-annales-english.htm;2268-3763;N/A
Annales historiques de la Révolution française;revue-annales-historiques-de-la-revolution-francaise;http://www.cairn.info/revue-annales-historiques-de-la-revolution-francaise.htm;0003-4436;1952-403X
L'Année balzacienne ;revue-l-annee-balzacienne;http://www.cairn.info/revue-l-annee-balzacienne.htm;0084-6473;1969-6752
L'Année sociologique;revue-l-annee-sociologique;http://www.cairn.info/revue-l-annee-sociologique.htm;0066-2399;1969-6760
Approche Centrée sur la Personne. Pratique et recherche;revue-approche-centree-sur-la-personne;http://www.cairn.info/revue-approche-centree-sur-la-personne.htm;1774-5314;1961-8670
ArchéoSciences;revue-archeosciences;http://www.cairn.info/revue-archeosciences.htm;1960-1360;2104-3728
Archives d'histoire doctrinale et littéraire du Moyen Âge;revue-archives-d-histoire-doctrinale-et-litteraire-du-moyen-age;http://www.cairn.info/revue-archives-d-histoire-doctrinale-et-litteraire-du-moyen-age.htm;0373-5478;2109-9529
Archives de Philosophie;revue-archives-de-philosophie;http://www.cairn.info/revue-archives-de-philosophie.htm;0003-9632;1769-681X
Archives de politique criminelle;revue-archives-de-politique-criminelle;http://www.cairn.info/revue-archives-de-politique-criminelle.htm;0242-5637;2105-2670
Archives de sciences sociales des religions;revue-archives-de-sciences-sociales-des-religions;http://www.cairn.info/revue-archives-de-sciences-sociales-des-religions.htm;0335-5985;1777-5825
Archives Juives;revue-archives-juives;http://www.cairn.info/revue-archives-juives.htm;0003-9837;1965-0531
Autrepart;revue-autrepart;http://www.cairn.info/revue-autrepart.htm;1278-3986;2109-9561
Bulletin d’études orientales;revue-bulletin-d-etudes-orientales;http://www.cairn.info/revue-bulletin-d-etudes-orientales.htm;0253-1623;2077-4079
Bulletin de l'Institut Pierre Renouvin;revue-bulletin-de-l-institut-pierre-renouvin;http://www.cairn.info/revue-bulletin-de-l-institut-pierre-renouvin.htm;1276-8944;1775-4305
Bulletin de psychologie;revue-bulletin-de-psychologie;http://www.cairn.info/revue-bulletin-de-psychologie.htm;0007-4403;1968-3766
Cahiers critiques de thérapie familiale et de pratiques de réseaux;revue-cahiers-critiques-de-therapie-familiale;http://www.cairn.info/revue-cahiers-critiques-de-therapie-familiale.htm;1372-8202;1782-1398
